cve_ent,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,pct_no_med_insurance,pct_med_insurance,pct_pop_obesity,pct_pop_hypertension,pct_pop_diabetes,average_years_finish,average_household_size,pct_household_tics,pct_household_no_tics,population/sqkm
8015,1539.3073117097306,0.0,329.8515667949423,0.0,2.308960967564596,6.322155030236394,0.4398020890599231,56.95437053326003,4.233095107201759,61.46234194612424,57.529136809957,27.276502925701347,11.485614855452464,6.97,2.76,97.75280898876404,2.247191011235955,0.1559671420655208
8016,733.5541883577852,0.0,0.0,0.0,4.377662091812589,12.068149550402271,0.709891150023663,70.94178892569806,8.944628490298154,78.70326549929011,44.09641957580236,27.254492477393253,9.331276139854426,8.45,3.17,99.14236706689536,0.8576329331046313,4.0338309499777445
8017,1347.2724068035604,67.19837842601568,150.37014188772363,17.07499779677448,4.064400282012867,10.885035692253458,1.1820304926412268,83.69447871684146,13.05521283158544,86.15382920595752,35.955207533904634,20.88247441925454,10.58037431975319,9.4,3.15,99.5484415082405,0.4515584917594967,50.450823604334985
8018,451.1573165947431,0.0,78.46214201647705,0.0,5.904276186739898,11.416241663397413,1.1377010592389172,82.071400549235,11.94586112200863,87.9756767359749,47.50933196101034,27.53208698857314,11.971533428954151,6.64,3.0,99.0,1.0,3.183547453600392
8019,2051.0956977864853,134.5067121693289,197.4941936707061,16.53684715002712,4.223953149110749,9.949810142248484,1.4568225027517523,83.58049073357243,10.77328193217786,87.67688896613106,39.31922027058564,25.194694737471927,8.679077413232015,11.42,3.11,99.6392784238628,0.3607215761371872,113.46018819357258
8020,1053.740779768177,23.41646177262616,0.0,0.0,5.8189907504976,9.77637279007142,0.6556609296335324,56.67954572064161,8.933380166256878,63.575693712680014,41.6361687116552,20.156722401821508,8.631996816073523,7.14,3.47,78.17571348628987,21.824286513710128,4.319018487007948
8021,1360.4168616805516,53.04377671690224,245.24946176167745,11.232799775344004,4.370807201472745,9.481107054822305,1.240600330743549,79.43336765577709,12.437829573465631,81.42656557146869,41.57287307824674,23.233301590379533,10.73126957688774,10.2,3.15,99.523899410642,0.4761005893579983,301.93764920318216
8022,361.01083032490976,0.0,72.20216606498195,0.0,8.628158844765343,14.765342960288809,1.48014440433213,64.8014440433213,6.823104693140794,81.6245487364621,40.56148337927147,35.363337164445994,13.856223767059346,6.63,2.56,98.22546972860124,1.7745302713987474,2.694311656714824
8023,340.1360544217687,127.55102040816324,56.68934240362812,0.0,3.6281179138322,10.912698412698411,0.6377551020408163,79.49263038548753,31.746031746031743,62.45748299319728,42.6180692377483,19.189751360185674,7.80775880984093,7.36,3.66,97.74848984074684,2.251510159253157,4.06890899368915
8024,908.4556254367576,0.0,93.17493594223154,0.0,5.7069648264616815,13.580246913580249,1.2345679012345678,68.5301653855113,8.991381318425343,79.19869555089682,22.440758043773577,30.15325398388311,24.83177087371169,7.92,2.94,98.91472868217052,1.0852713178294573,6.437178860390506
8025,1177.2059589540577,20.835503698301903,156.26627773726432,31.25325554745286,7.5424523387852895,14.41816855922492,1.0626106886133972,50.8907177831024,5.615168246692364,67.51744973434732,39.039114313302434,25.99065503793768,10.880267980438106,8.0,2.75,99.21537857983525,0.7846214201647704,11.255498843998868
8026,861.1410118406889,0.0,107.64262648008612,0.0,4.628632938643703,17.72515249372085,1.0046645138141372,65.08790814495875,7.21205597416577,80.48080373161105,42.1807058980198,32.682080899162834,12.726763857930438,6.9,2.68,98.02847754654984,1.9715224534501643,5.764279899501263
8027,1079.5978047510314,82.12153987902096,68.10078916796859,10.014821936465973,3.4330809598205345,9.255698433681848,0.7631294315587069,87.35929175179265,15.72727636902616,84.69134318791812,31.641146075332653,18.444951021487043,9.994298769920924,6.71,3.67,82.10767977486485,17.892320225135155,7.210380998527254
8028,452.755905511811,78.74015748031496,98.4251968503937,0.0,4.980314960629921,13.031496062992126,1.358267716535433,64.46850393700787,11.850393700787402,71.51574803149606,40.53567358578054,25.23621454070225,9.731286520910198,7.95,3.06,99.19354838709675,0.8064516129032258,0.8426825706456139
8029,161.95574346210236,20.45756759521293,17.047972996010774,0.0,3.851137099798834,9.499130553377205,0.748406014524873,72.32261584097651,12.177367111050495,73.84499982952028,35.02675979063411,17.02642552494728,7.845185245656422,5.86,4.11,75.73030030275754,24.26969969724245,6.152090162602269
8030,1464.6053702196907,34.87155643380216,58.1192607230036,0.0,5.207485760781123,11.972567708938742,1.081018249447867,77.43810298733,15.33186097872835,79.83261652911776,39.87347874515833,21.701835687827696,8.920432660484389,6.52,3.69,79.70297029702971,20.2970297029703,4.749684382265213
8031,589.497512320498,47.15980098563984,94.31960197127968,9.43196019712797,5.595510386946167,12.365299818434766,1.0351576316347946,65.15126506166145,13.159942465042798,70.38836096111675,43.13879562118264,25.981814182884943,10.592152011685476,7.75,2.99,97.32656514382404,2.673434856175973,7.429258781540217
8032,2545.398898184044,221.89349112426035,234.64599061416035,6.80133306128001,5.325443786982249,11.188192885805618,1.3781201115418622,81.95776372168945,11.8028633612188,87.24750051009998,38.000144967724985,25.942603509312335,10.278298996774774,10.34,3.38,99.56699892476244,0.4330010752375693,61.577180723128514
8033,654.2056074766356,0.0,93.45794392523364,0.0,5.327102803738318,9.626168224299066,0.2803738317757009,61.77570093457943,3.925233644859813,72.80373831775701,43.23364841009049,30.32185207233501,11.616382168081005,6.95,2.93,98.93238434163702,1.0676156583629894,1.2635399545438493
8034,440.7051282051282,0.0,80.12820512820512,13.354700854700855,6.236645299145299,12.286324786324784,0.7478632478632479,50.60096153846154,5.982905982905983,63.27457264957265,43.9364412481391,27.787086931923124,11.715998743365423,7.47,2.66,98.71926229508196,1.2807377049180328,2.615226778386132
8035,322.6354219731703,42.452029206996095,42.452029206996095,0.0,3.540499235863474,7.208354559347936,0.4839531329597555,82.16165732722024,24.35897435897436,68.78926812701647,48.29522107224345,22.87206177135661,9.036878558776724,6.95,3.38,98.48391089108912,1.516089108910891,1.5798548250893447
8036,1209.82738629154,21.87752958935877,192.5222603863572,19.68977663042289,3.482902710625916,8.184383819379114,1.012929619987311,77.18392439125775,11.188168631998074,78.13122142247697,40.629740871799726,27.41642409928626,8.972448945354596,9.55,3.45,99.18012002366665,0.8198799763333615,4.2737762007681726
