,cve_ent,population/sqkm
0,1001,824.769042651526
1,1002,93.60767187766592
2,1003,65.80330818308333
3,1004,131.7770128686731
4,1005,260.4226410635086
5,1006,255.60966650554224
6,1007,155.7393319752194
7,1008,11.26265581613476
8,1009,99.02856289963489
9,1010,43.541229934998
10,1011,374.30452214659084
11,2001,26.784254940837183
12,2002,73.42706635211105
13,2003,39.254013409285186
14,2004,1641.0794101226802
15,2005,210.3498739043499
16,3001,4.574422984354939
17,3002,2.1265087985473037
18,3003,19.271424159040425
19,3008,89.01095727462496
20,3009,4.721904940576671
21,4001,30.431957332559495
22,4002,99.06217944443691
23,4003,32.30084721554504
24,4004,15.243369713704427
25,4005,27.40665434479281
26,4006,5.695755239783647
27,4007,4.523676743073248
28,4008,11.35183405391247
29,4009,13.320168630839133
30,4010,2.2746916988805173
31,4011,8.611170462938063
32,5001,1.531255469271511
33,5002,14.23550895454274
34,5003,98.57344339949779
35,5004,15.734768739269189
36,5005,0.9249499366506345
37,5006,9.218080575864608
38,5019,14.81166231378999
39,5020,9.160116659093838
40,5007,1.381007079621219
41,5008,3.2931844004023065
42,5009,23.144425925675232
43,5021,10.048647438960675
44,5010,193.66592118495674
45,5011,5.162307333461975
46,5012,0.6741256110512595
47,5029,9.10077421780846
48,5030,156.26327104049665
49,5031,4.028422033487677
50,5032,59.242264658372676
51,5033,16.577102367357956
52,5013,1.679934566776309
53,5014,5.003946827341336
54,5015,0.7045717076383512
55,5016,2.9669467495664765
56,5017,149.68851171698674
57,5018,202.34414349405267
58,5022,36.58150505088881
59,5023,0.44897720771796057
60,5024,4.629683723131992
61,5025,374.5536621594518
62,5026,1.2739232034644974
63,5027,15.428010108596334
64,5028,35.34504647481364
65,5034,0.9830396510852558
66,5035,586.0931355714375
67,5036,5.457256568809419
68,5037,3.715439567516797
69,5038,1.7933422042835445
70,6001,79.54317945521711
71,6002,227.9408499024949
72,6003,76.4767797904981
73,6004,42.284245307222534
74,6005,80.07846335240671
75,6006,16.207364812759305
76,6007,150.64021327261503
77,6008,23.44009425681587
78,6009,144.17068268223068
79,6010,527.2745984677804
80,7001,79.35297571377102
81,7002,112.83986927693898
82,7003,54.96630666448161
83,7004,37.5522565468265
84,7005,69.08772569344437
85,7006,132.46120480842615
86,7007,70.59972239050681
87,7008,52.85811037115384
88,7009,54.52838628482674
89,7010,104.85624844659858
90,7068,57.900634486509574
91,7069,32.8638493046532
92,7011,102.26812018834164
93,7012,161.4752151943919
94,7013,104.13835060315293
95,7014,152.87912535861165
96,7015,286.6286830800291
97,7016,30.21090030653432
98,7017,38.20342073008082
99,7018,64.64661236615879
100,7019,173.53474061848974
101,7020,19.527498735966027
102,7021,69.263526752304
103,7022,97.05723751296878
104,7023,275.99960331452246
105,7024,32.66972787140281
106,7025,45.433761708741486
107,7026,172.53809827251794
108,7027,140.47673698230764
109,7028,124.16763244759386
110,7029,48.50554984878932
111,7030,38.00771872874818
112,7031,83.50050491707887
113,7032,82.31801282040846
114,7033,39.37181018309129
115,7034,104.95056051907638
116,7035,165.37077801621191
117,7036,160.54151069181287
118,7037,124.60317094563415
119,7038,82.17239266830943
120,7039,74.12856138577915
121,7040,147.93160086673936
122,7041,95.96337463093536
123,7042,130.42955226297707
124,7043,94.00054428442841
125,7044,106.42497314029113
126,7045,55.82872757728655
127,7046,33.14153884239473
128,7047,95.99993856896758
129,7048,31.6957598073331
130,7049,172.515556035729
131,7050,11.883374900988027
132,7051,42.173849857862535
133,7052,44.49529741805363
134,7070,185.90450097056927
135,7053,76.84340509680924
136,7054,82.31394949129314
137,7071,70.06008220744583
138,7072,197.59252266710433
139,7055,268.8905298332999
140,7056,362.7889804313023
141,7057,135.19677336542964
142,7058,159.38914164385946
143,7059,24.90430410756964
144,7060,225.04224916155414
145,7061,48.015636392480474
146,7062,33.385392082358294
147,7063,44.428361033396065
148,7064,123.87445536330308
149,7065,45.52085072057506
150,7066,125.0003493190994
151,7067,126.37529060543848
152,7073,162.47851262153137
153,7074,113.91843455983812
154,7075,130.90114691828916
155,7076,117.33734099611006
156,7077,55.75330462853134
157,7078,585.0667547486089
158,7079,119.1642311170513
159,7080,101.97399705352103
160,7081,152.83521474298666
161,7082,147.02875395608947
162,7083,31.6855581391741
163,7084,56.34562912217374
164,7085,122.01419165913194
165,7086,93.05378379548581
166,7087,176.47704498929997
167,7088,33.20214925603448
168,7089,387.7511521831566
169,7090,65.68235667490836
170,7091,379.0225082078336
171,7092,87.01558507418424
172,7093,247.32620028546935
173,7094,165.9415280573746
174,7096,106.66876279780611
175,7097,52.49518404526264
176,7098,46.66199417477991
177,7099,52.9279133864701
178,7100,92.87489454309895
179,7101,1972.8584996754928
180,7102,273.6374225218098
181,7103,198.0897878020123
182,7104,46.85076215525539
183,7105,267.66297625267265
184,7106,51.957660519774365
185,7107,35.73318530765706
186,7108,60.633403320478976
187,7109,198.8234840999979
188,7110,83.68472093388726
189,7111,229.64770608484105
190,7112,218.0419639208975
191,7113,266.190421729161
192,7114,19.67084732999439
193,7115,25.20773526198194
194,7116,13.379201780583733
195,7117,41.96109299386534
196,7118,152.27043270083468
197,7119,239.89147209795806
198,8001,0.7630495588748153
199,8002,2.8467375753094863
200,8003,4.462909302336387
201,8004,38.576191426883966
202,8005,2.0374280757661394
203,8006,7.082930280226612
204,8007,3.344912333357718
205,8008,6.0993124130766345
206,8009,11.084767532894343
207,8010,3.152934105023621
208,8011,4.038410286656059
209,8012,3.9128895572903213
210,8013,3.224899061602679
211,8014,1.260803667901279
212,8015,0.15596714206552087
