cve_ent,pct_pop_0_4_years_old,pct_pop_5_9_years_old,pct_pop_10_14_years_old,pct_pop_15_19_years_old,pct_pop_20_24_years_old,pct_pop_25_29_years_old,pct_pop_30_34_years_old,pct_pop_35_39_years_old,pct_pop_40_44_years_old,pct_pop_45_49_years_old,pct_pop_50_54_years_old,pct_pop_55_59_years_old,pct_pop_60_64_years_old,pct_pop_65_69_years_old,pct_pop_70_74_years_old,pct_pop_75_79_years_old,pct_pop_80_84_years_old,pct_pop_85_89_years_old,pct_pop_90_94_years_old,pct_pop_95_99_years_old,pct_pop_100_and_more_years_old
1,8.673286236568883,8.673286236568883,9.041812028843573,9.198646345586159,8.853819961174795,8.25478257535889,7.446144838234116,6.91862390085283,6.439129116465164,5.901779895234677,5.166540618345432,4.103134246689924,3.367128224252162,2.497011434964294,1.7834501458559144,1.1557643581816979,0.7100063779288809,0.3886702889585156,0.16798697926650333,0.05548449605648824,0.007806863766742063
2,7.326290803407441,7.326290803407441,8.593104343816611,8.683644082811261,9.363723799598775,9.030424213479003,8.31911915370792,8.035202378738376,7.52739851901087,7.176161555247673,6.090675094666436,4.639865876835142,3.6871215130783295,2.6054316140228475,1.7999278103083798,1.1244975058241453,0.6933951934430632,0.3425433880955237,0.13364997023275674,0.04159710889088682,0.0069328514818144706
3,7.761200336022507,7.761200336022507,8.408640152701352,8.135746134001403,8.294064430824598,8.549436565810208,8.422806782087415,8.06839251007819,7.380192566744707,6.4335137714549875,5.385431734243975,4.191706805449927,3.3670598527664692,2.395154515675251,1.5589505758610578,1.0147780312858825,0.577725087857956,0.3176307430769919,0.1163154833803069,0.041257201369937914,0.00683477733538128
4,7.888632713615699,7.888632713615699,8.011856684425709,7.609305058778734,7.550941069360205,7.275311133030921,7.266416620944876,7.02316670614231,6.413043152374985,5.759246544881808,5.022301240134837,4.077983883943607,3.2757788444529727,2.578009368219808,1.7548172777396347,1.190865236149296,0.7531353155103301,0.4410278857944648,0.17669098166431313,0.07005677496984361,0.014890812368768469
7,10.019462976804103,10.019462976804103,10.17617196245895,9.189236919729574,8.106339436898196,7.406209759340021,6.911337441389007,6.506790926305419,5.7449025516166765,4.961863699131312,4.255364446989172,3.426569362834876,2.769909850451114,2.194920499856292,1.498246098373804,1.1021632645867185,0.6674092601747846,0.38110997079244663,0.1544927227174106,0.06727317814024826,0.025286338553883195
8,7.662422625672533,7.662422625672533,8.77853850348561,8.584351334096368,8.261688123621099,7.846903067141884,7.250952061653769,6.935943750432397,6.6285377274734865,6.537494406793972,5.785367673228923,4.567659970953471,3.7054184323134605,2.655381959743648,1.9470801820445527,1.3222457422582268,0.825650594096468,0.4011588096973631,0.1414183449792147,0.03885321717527904,0.006392235459439951
5,8.696376199234477,8.696376199234477,8.330765024606054,8.366182830441915,8.211742556047124,7.64021101555898,6.969509618730426,6.823644181538002,6.794222548093652,6.375267186956306,5.536797236168415,4.418371278023562,3.6955684247154146,2.622843863399115,1.9164139782273697,1.2365474474325198,0.7720770989710195,0.38819779291146794,0.1463935974548889,0.043744097032360686,0.006648605656907093
6,6.6627778280156855,6.6627778280156855,7.743841009331939,7.726264817175761,7.558144718290576,7.391552983940709,7.315262120885993,6.949728269521992,6.51834737942796,6.0030338036026105,5.290815930143552,4.434677062941873,3.794801777487954,2.811044471587066,2.0487726595962825,1.3759101729217107,0.8735876956465809,0.4614387259553233,0.200088390415626,0.07654559047727004,0.018849829268945035
9,5.321242825280295,5.321242825280295,6.752256020721516,7.211604403987517,7.923640413831567,8.341485888401195,8.245263007913051,7.82656374654951,7.432457980106768,7.41735593318065,6.913266904285511,5.837318133710774,5.206037048802785,3.949551179805835,2.9687830045422565,1.9428084817619498,1.302634708429038,0.735321104223528,0.31911667440064445,0.1005250788782572,0.014503287356360074
10,8.96738141761673,8.96738141761673,9.110292370877199,8.720724923969875,8.217674088120038,7.549882396752053,6.93024490154072,6.357959032550096,6.151752063674828,5.78224886516611,5.190433794400844,4.280212477715308,3.5599862171989667,2.6606263469798757,1.9773183035169686,1.3744812722980682,0.910970381959084,0.48378915738717476,0.17833103976680528,0.05414671834503659,0.00840023199621615
11,8.651747903679649,8.651747903679649,8.819614092410697,8.864426577609011,8.679701517699808,8.058026628988427,7.423233932893665,7.0493362822977845,6.538512485599714,5.871061747622699,5.108992602166766,4.026990249952835,3.442517270307915,2.5973098058420003,1.8991919783885327,1.3023076583429336,0.8729041814014538,0.5097319840884369,0.22483311724542104,0.08042484355368949,0.010966294299694533
12,9.172917610050511,9.172917610050511,9.529352636334005,8.929059722486551,7.710235140473956,7.00540435892556,6.507325033743062,6.074763032916166,5.718273317714178,5.216721246207324,4.759904710028416,4.073558782930932,3.466320376434764,2.849183275691213,2.117664301917831,1.5879200929274102,1.0721762470714082,0.6434698149983266,0.25121354710137794,0.10801061402530127,0.03223911745210892
13,7.717337985118005,7.717337985118005,9.191119532246809,8.82921085764904,7.717273184997217,7.4884315584364245,7.264935941840596,7.1736973717719,6.837967945972251,6.303982550623474,5.562409968332181,4.529366442739049,3.853306782563843,3.0135620172796003,2.144203596795504,1.5313240543880373,0.9719046116301961,0.5644414521188668,0.2337016356198488,0.09784818238901198,0.020800838772763473
14,7.978686023378023,7.978686023378023,8.500976194969304,8.517064772756864,8.375561390885494,7.9471866571110255,7.598446221520809,7.169143986587858,6.538395634656342,6.082707180868552,5.287814905966246,4.246052739380617,3.7220264758773,2.8604254638070614,2.157272566311279,1.4374484300437602,0.9096051425420643,0.49356141775924517,0.2107686927453832,0.07587672938833796,0.013175272866678963
15,7.3238546023334,7.3238546023334,8.403526781077806,8.473047930919526,8.120128828726992,7.846818213898607,7.363320306246518,7.197103017651693,6.8688514148954045,6.575027585253208,5.778569744069673,4.565759628730895,3.7933668009541086,2.727815747148663,1.898720377052971,1.219672718112853,0.7486893059877358,0.4091568695743981,0.15463808090411924,0.05332862055372482,0.008365948866723778
