,cve_ent,population/sqkm
0,1,258.0894365265785
1,2,49.442754262653466
2,3,10.878741689347564
3,4,17.476648938290214
4,5,21.362539814856483
5,6,136.47104041937402
6,7,77.84561264234307
7,8,15.392295753023976
8,9,6068.326502764664
9,10,15.303181541627907
10,11,205.28085657734619
11,12,57.53240498787287
12,13,149.43025323187732
13,14,107.86395967629034
14,15,784.0871431268359
15,16,82.77372603108947
16,17,420.63879915909496
17,18,46.32306600226557
18,19,88.26705735678843
19,20,44.09963816380123
20,21,193.38021817305633
21,22,196.70242246244965
22,23,38.67584009860919
23,24,47.37428087808118
24,25,55.571776875842296
25,26,17.002513200631977
26,27,104.16592195780184
27,28,45.962271435305524
28,29,347.3134791962677
29,30,119.50315144527616
30,31,57.29904226978194
31,32,22.37422863069969
