cve_ent,state,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,population,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,average_years_finish,pct_no_med_insurance,pct_med_insurance,average_household_size,pct_household_tics,pct_household_no_tics,pct_pop_0_14_years_old,pct_pop_15_64_years_old,pct_pop_65_more_years_old
1,AGUASCALIENTES,1992.5625681793624,133.34402130158543,171.19336974212953,5.92485196583103,1434635,4.96948701237597,11.534780623642947,1.4058628152805417,82.10715617561262,10.35,18.268618847302623,80.93619631474208,3.68,99.5572461799221,0.44275382007788955,26.84968650562687,65.64972972219415,6.766180944979036
2,BAJA CALIFORNIA,1470.4247857143644,92.16290660348602,237.9178556140141,4.786968880300468,3634868,4.180206819064682,9.938985404696952,1.4448667737040244,88.41215141787816,10.2,23.00818076474854,79.92766174727666,3.26,99.165994291996,0.8340057080040004,24.163270853301963,72.55333618717378,6.747975442299419
3,BAJA CALIFORNIA SUR,6304.8956888709945,2080.3819522112367,184.6632567341197,14.415166743713248,804708,4.396998662869016,11.21313569642653,1.2952524393941653,82.41710036435576,10.34,16.06421211172251,82.5295635186925,3.3,98.91544820932515,1.0845517906748507,24.487515968525226,68.22835115346187,6.028646415842765
4,CAMPECHE,1556.839430071646,491.8964998595866,126.42199762746388,5.596546930543854,1000617,5.222677607915916,11.288634912259136,1.2306406946913755,75.28065183781607,9.63,20.317863877987282,71.92332330951803,3.55,95.38671013519992,4.613289864800077,24.09693219283702,61.27349425404526,6.979493652416459
5,COAHUILA,2325.7381816374213,176.06377690510513,198.09116667495155,2.081572799125118,3218720,4.188497290848536,9.399481781577771,1.0896567579658996,83.38050529402993,10.43,18.559334145250286,78.93535318387434,3.48,99.36129330889804,0.6387066911019522,25.608937714370928,64.8315168762738,7.1328664810856495
6,COLIMA,2322.0951839959857,779.3385493018558,154.1100906447533,4.330366183406292,785153,5.079264805713027,11.122036087233953,1.2777127515274094,76.11433695088728,10.05,15.675161401663114,77.17565875695564,3.21,98.81068357041785,1.1893164295821523,22.05468233579952,62.982628863418974,7.866237535868806
7,CHIAPAS,282.8091115281098,77.04567613208718,28.863770854467084,0.7154864601167779,5730367,3.9766737453290513,7.333928175978956,0.9294169116916945,84.52856509888458,7.78,31.669559733259668,64.5449584642659,4.09,88.77480250151181,11.225197498488184,30.88940027750404,59.27852439468536,6.090901333195588
8,CHIHUAHUA,1604.1091288750954,91.04332067951304,197.10707941392403,10.75894774860469,3801487,4.413746515508273,10.381148219104787,1.2968346333947742,82.71047618997514,10.0,15.1021955355891,83.02787830130683,3.25,98.24161829037983,1.7583817096201573,24.788273641340876,66.10431654770883,7.338181085454192
9,DISTRITO FEDERAL,9027.209741596436,1611.3063547794598,382.07513434667845,7.096409715650188,9018645,5.47298402365322,12.653985160741996,1.612526050199337,83.0448365580417,11.48,27.75127527472253,74.16870272640735,3.32,99.61804130799084,0.3819586920091615,18.326178710881734,72.35499346076932,11.333243519397868
10,DURANGO,2089.250057249989,246.28196101008243,133.49413267872163,3.691821705343404,1868996,5.454960845288059,11.655990703029861,1.2026242966812128,80.21317327591926,9.75,24.686730201669775,73.12294943381367,3.69,97.47902563915592,2.520974360844079,27.4962600240985,62.74111876108884,7.648063452249229
